"","year","chamber","District","Prez_Dem","Prez_Repub","Gub_Dem","Gub_Repub","US_Sen_Dem","US_Sen_Repub","US_Sen2_Dem","US_Sen2_Repub"
"273",1978,"SEN",33,NA,NA,78686,69675,NA,NA,NA,NA
"274",1978,"SEN",34,NA,NA,101107,77256,NA,NA,NA,NA
"275",1978,"SEN",35,NA,NA,97253,92199,NA,NA,NA,NA
"276",1978,"SEN",36,NA,NA,126619,127580,NA,NA,NA,NA
"277",1978,"SEN",37,NA,NA,83296,59331,NA,NA,NA,NA
"278",1978,"SEN",38,NA,NA,138423,119829,NA,NA,NA,NA
"279",1978,"SEN",39,NA,NA,121156,68691,NA,NA,NA,NA
"280",1978,"SEN",40,NA,NA,90302,40188,NA,NA,NA,NA
"281",1978,"HS",1,NA,NA,62238,46373,NA,NA,NA,NA
"282",1978,"HS",2,NA,NA,59587,43025,NA,NA,NA,NA
"283",1978,"HS",3,NA,NA,54502,49362,NA,NA,NA,NA
"284",1978,"HS",4,NA,NA,58044,35867,NA,NA,NA,NA
"285",1978,"HS",5,NA,NA,52754,34658,NA,NA,NA,NA
"286",1978,"HS",6,NA,NA,57091,34479,NA,NA,NA,NA
"287",1978,"HS",7,NA,NA,60977,53242,NA,NA,NA,NA
"288",1978,"HS",8,NA,NA,60117,41769,NA,NA,NA,NA
"289",1978,"HS",9,NA,NA,63079,37228,NA,NA,NA,NA
"290",1978,"HS",10,NA,NA,58153,45184,NA,NA,NA,NA
"291",1978,"HS",11,NA,NA,53277,22131,NA,NA,NA,NA
"292",1978,"HS",12,NA,NA,65938,35396,NA,NA,NA,NA
"293",1978,"HS",13,NA,NA,47460,12568,NA,NA,NA,NA
"294",1978,"HS",14,NA,NA,45677,15536,NA,NA,NA,NA
"295",1978,"HS",15,NA,NA,46717,26248,NA,NA,NA,NA
"296",1978,"HS",16,NA,NA,47798,10723,NA,NA,NA,NA
"297",1978,"HS",17,NA,NA,60266,18443,NA,NA,NA,NA
"298",1978,"HS",18,NA,NA,53143,24436,NA,NA,NA,NA
"299",1978,"HS",19,NA,NA,47054,26894,NA,NA,NA,NA
"300",1978,"HS",20,NA,NA,56222,38972,NA,NA,NA,NA
"301",1978,"HS",21,NA,NA,53177,23084,NA,NA,NA,NA
"302",1978,"HS",22,NA,NA,53721,35508,NA,NA,NA,NA
"303",1978,"HS",23,NA,NA,45447,17266,NA,NA,NA,NA
