case	year	chamber	District	prez_party	mid_penalty	Dem	Repub	incumbent
292	1982	HS	26	-1	-1	57205	0	1
293	1990	HS	26	-1	-1	0	27409	0
294	2002	HS	26	-1	-1	36069	48540	0
295	2006	HS	26	-1	-1	38990	54703	-1
296	1970	SEN	26	-1	-1	0	47963	0
297	1974	SEN	26	-1	-1	83998	29949	1
298	1990	SEN	26	-1	-1	0	30984	0
299	2002	SEN	26	-1	-1	123814	0	1
300	1970	HS	27	-1	-1	0	20903	0
301	1974	HS	27	-1	-1	40973	22842	1
302	1982	HS	27	-1	-1	52606	26064	0
303	1986	HS	27	-1	-1	58099	0	1
304	1990	HS	27	-1	-1	48324	0	0
305	2002	HS	27	-1	-1	77212	0	0
306	1970	HS	28	-1	-1	26419	0	0
307	1974	HS	28	-1	-1	0	50163	-1
308	1982	HS	28	-1	-1	78534	31973	1
309	1986	HS	28	-1	-1	75112	29025	1
310	1990	HS	28	-1	-1	80558	32097	1
311	2002	HS	28	-1	-1	43555	27945	1
312	1970	SEN	28	-1	-1	94251	0	1
313	1974	SEN	28	-1	-1	73959	21876	1
314	2002	SEN	28	-1	-1	0	64627	0
315	2006	SEN	28	-1	-1	129151	0	0
316	1970	HS	29	-1	-1	0	37599	-1
317	1974	HS	29	-1	-1	27372	0	0
318	1986	HS	29	-1	-1	0	71790	-1
319	2002	HS	29	-1	-1	0	63011	0
320	2006	HS	29	-1	-1	35163	76719	-1
321	1970	HS	30	-1	-1	39878	0	0
322	1974	HS	30	-1	-1	0	30694	-1
323	1990	HS	30	-1	-1	39414	23793	1
324	1970	SEN	30	-1	-1	0	39964	0
325	1974	SEN	30	-1	-1	90246	36288	0
326	1982	SEN	30	-1	-1	88668	0	1
327	1986	SEN	30	-1	-1	80926	0	1
328	2006	SEN	30	-1	-1	93436	38340	0
329	1974	HS	31	-1	-1	29441	0	0
330	1982	HS	31	-1	-1	51815	0	0
331	2002	HS	31	-1	-1	41050	0	1
332	2006	HS	31	-1	-1	45004	0	1
333	1970	HS	32	-1	-1	0	40446	0
334	1974	HS	32	-1	-1	0	32963	-1
335	1990	HS	32	-1	-1	32457	71592	-1
336	1970	SEN	32	-1	-1	90365	0	1
337	1974	SEN	32	-1	-1	0	30060	0
338	1990	SEN	32	-1	-1	51086	80788	-1
339	1970	HS	33	-1	-1	20365	0	0
340	1974	HS	33	-1	-1	33094	38611	1
341	1986	HS	33	-1	-1	0	41197	0
342	1974	HS	34	-1	-1	35416	0	0
343	1986	HS	34	-1	-1	30681	72220	-1
344	2002	HS	34	-1	-1	0	48625	0
345	2006	HS	34	-1	-1	0	56880	-1
346	1970	SEN	34	-1	-1	0	189121	0
347	1974	SEN	34	-1	-1	70849	0	0
348	1982	SEN	34	-1	-1	101708	50320	1
349	1986	SEN	34	-1	-1	93410	48421	1
350	1970	HS	35	-1	-1	0	60726	-1
351	1974	HS	35	-1	-1	44042	39956	0
352	1986	HS	35	-1	-1	61423	0	1
353	1990	HS	35	-1	-1	60126	29677	1
354	2002	HS	35	-1	-1	72394	0	1
355	1970	HS	36	-1	-1	44830	46423	-1
356	1974	HS	36	-1	-1	49585	23269	1
357	1982	HS	36	-1	-1	47932	60702	0
358	1986	HS	36	-1	-1	0	77132	-1
359	1990	HS	36	-1	-1	0	66081	-1
360	2006	HS	36	-1	-1	34863	55712	-1
361	1970	SEN	36	-1	-1	0	132206	-1
362	1974	SEN	36	-1	-1	0	124692	-1
363	1986	SEN	36	-1	-1	115868	72904	1
364	2002	SEN	36	-1	-1	53280	0	0
365	2006	SEN	36	-1	-1	85706	0	0
366	1970	HS	37	-1	-1	54995	0	1
367	1982	HS	37	-1	-1	38574	0	0
368	1986	HS	37	-1	-1	25736	0	0
369	1990	HS	37	-1	-1	44773	0	0
370	2006	HS	37	-1	-1	58305	78943	-1
371	1970	HS	38	-1	-1	0	19630	0
372	1982	HS	38	-1	-1	0	58558	-1
373	1990	HS	38	-1	-1	0	50496	0
374	2002	HS	38	-1	-1	0	64757	-1
375	2006	HS	38	-1	-1	46926	0	0
376	1970	SEN	38	-1	-1	52054	0	0
377	1974	SEN	38	-1	-1	84191	119402	0
378	1982	SEN	38	-1	-1	71554	0	0
379	2002	SEN	38	-1	-1	0	132577	-1
380	1970	HS	39	-1	-1	21083	0	0
381	1974	HS	39	-1	-1	0	16316	0
382	1982	HS	39	-1	-1	43392	0	1
383	1986	HS	39	-1	-1	44009	28787	1
384	1970	HS	40	-1	-1	0	9736	0
385	1982	HS	40	-1	-1	65110	25880	1
386	1986	HS	40	-1	-1	60811	22899	1
387	1990	HS	40	-1	-1	47215	0	1
388	1970	SEN	40	-1	-1	0	33506	0
389	1982	SEN	40	-1	-1	103651	36012	0
390	1986	SEN	40	-1	-1	0	36231	0
391	1990	SEN	40	-1	-1	72771	47058	1
392	2002	SEN	40	-1	-1	66405	0	0
393	2006	SEN	40	-1	-1	0	47601	0
394	1970	HS	41	-1	-1	39897	0	0
395	1974	HS	41	-1	-1	23060	0	0
396	1982	HS	41	-1	-1	0	86809	-1
397	1986	HS	41	-1	-1	0	66408	-1
398	2002	HS	41	-1	-1	71614	0	1
399	2006	HS	41	-1	-1	78380	0	0
400	1970	HS	42	-1	-1	0	20566	0
401	1974	HS	42	-1	-1	0	50259	-1
402	1982	HS	42	-1	-1	34327	75214	-1
403	1990	HS	42	-1	-1	0	48922	-1
404	2002	HS	42	-1	-1	84012	29049	1
405	2006	HS	42	-1	-1	0	27539	0
406	1970	HS	43	-1	-1	20167	0	0
407	1986	HS	43	-1	-1	0	40697	0
408	2002	HS	43	-1	-1	0	26590	0
409	2006	HS	43	-1	-1	55871	0	0
410	1970	HS	44	-1	-1	0	33949	0
411	2002	HS	44	-1	-1	60570	0	1
412	2006	HS	44	-1	-1	66206	37699	0
413	1970	HS	45	-1	-1	37042	0	1
414	1974	HS	45	-1	-1	54730	0	0
415	1990	HS	45	-1	-1	50494	0	1
416	2002	HS	45	-1	-1	40341	0	1
417	2006	HS	45	-1	-1	45106	9082	0
418	1970	HS	46	-1	-1	0	70404	-1
419	1974	HS	46	-1	-1	31641	17272	1
420	1982	HS	46	-1	-1	32462	0	1
421	1990	HS	46	-1	-1	20454	7383	1
422	2002	HS	46	-1	-1	27227	4317	0
423	1970	HS	47	-1	-1	25035	0	0
424	1974	HS	47	-1	-1	31865	5073	1
425	1982	HS	47	-1	-1	42305	5514	1
426	2002	HS	47	-1	-1	0	13395	0
427	1970	HS	48	-1	-1	40593	19882	1
428	1974	HS	48	-1	-1	31586	7229	1
429	1986	HS	48	-1	-1	42706	0	1
430	1990	HS	48	-1	-1	25511	0	0
431	2002	HS	48	-1	-1	41280	0	0
432	1970	HS	49	-1	-1	0	65507	-1
433	1974	HS	49	-1	-1	0	16585	0
434	1986	HS	49	-1	-1	0	17983	0
435	1990	HS	49	-1	-1	54518	16396	1
436	2002	HS	49	-1	-1	37680	18461	0
437	2006	HS	49	-1	-1	39326	0	0
438	1970	HS	50	-1	-1	34742	36316	-1
439	1982	HS	50	-1	-1	64251	0	1
440	1990	HS	50	-1	-1	44235	0	0
441	2002	HS	50	-1	-1	31281	11499	1
442	2006	HS	50	-1	-1	39019	11210	1
443	1970	HS	51	-1	-1	47269	0	1
444	1974	HS	51	-1	-1	28142	53185	-1
445	1982	HS	51	-1	-1	0	77833	-1
446	1986	HS	51	-1	-1	30056	0	0
447	1990	HS	51	-1	-1	0	60580	-1
448	2006	HS	51	-1	-1	0	16241	0
449	1970	HS	52	-1	-1	0	30735	-1
450	1982	HS	52	-1	-1	31104	60101	0
451	1990	HS	52	-1	-1	31583	45264	0
452	2006	HS	52	-1	-1	37959	0	1
453	1974	HS	53	-1	-1	25489	25843	0
454	1986	HS	53	-1	-1	0	29045	0
455	2006	HS	53	-1	-1	75491	47534	0
456	1970	HS	54	-1	-1	19774	0	0
457	1982	HS	54	-1	-1	50121	0	1
458	1986	HS	54	-1	-1	34262	0	0
459	2006	HS	54	-1	-1	69890	45128	1
460	1982	HS	55	-1	-1	35687	16767	1
461	1986	HS	55	-1	-1	29753	14183	0
462	2002	HS	55	-1	-1	48299	0	1
463	2006	HS	55	-1	-1	50006	23421	0
464	1970	HS	56	-1	-1	37106	0	1
465	1974	HS	56	-1	-1	16566	0	0
466	1982	HS	56	-1	-1	23835	4770	0
467	1986	HS	56	-1	-1	21170	4079	1
468	1990	HS	56	-1	-1	1571	0	1
469	2002	HS	56	-1	-1	39519	24751	0
470	2006	HS	56	-1	-1	43666	31991	0
471	1974	HS	57	-1	-1	40356	14571	1
472	1982	HS	57	-1	-1	0	19111	0
473	1986	HS	57	-1	-1	0	15829	0
474	1990	HS	57	-1	-1	32024	15653	1
475	2002	HS	57	-1	-1	0	19677	0
476	2006	HS	57	-1	-1	44025	25790	0
477	1970	HS	58	-1	-1	0	22321	0
478	1974	HS	58	-1	-1	0	38922	0
479	1982	HS	58	-1	-1	39596	0	0
480	1986	HS	58	-1	-1	32324	0	0
481	1990	HS	58	-1	-1	0	57311	0
482	2006	HS	58	-1	-1	53879	23766	0
483	1970	HS	59	-1	-1	63989	0	1
484	1982	HS	59	-1	-1	0	24655	0
485	1986	HS	59	-1	-1	46558	18881	1
486	1990	HS	59	-1	-1	34650	0	0
487	2002	HS	59	-1	-1	37788	65439	-1
488	2006	HS	59	-1	-1	0	67499	0
489	1982	HS	60	-1	-1	40411	0	1
490	1986	HS	60	-1	-1	0	23504	0
491	1990	HS	60	-1	-1	25408	16127	1
492	2002	HS	60	-1	-1	27964	62260	-1
493	2006	HS	60	-1	-1	32090	74721	-1
494	1970	HS	61	-1	-1	54371	22307	1
495	1974	HS	61	-1	-1	29694	0	0
496	1986	HS	61	-1	-1	24430	0	0
497	1990	HS	61	-1	-1	0	61421	-1
498	1970	HS	62	-1	-1	0	59091	-1
499	1990	HS	62	-1	-1	31060	55469	-1
500	1974	HS	63	-1	-1	0	34229	0
501	2002	HS	63	-1	-1	31759	49480	0
502	2006	HS	63	-1	-1	39655	59340	-1
503	1970	HS	64	-1	-1	50299	56959	0
504	1974	HS	64	-1	-1	31340	42494	0
505	1990	HS	64	-1	-1	29203	56646	-1
506	2002	HS	64	-1	-1	32118	55351	0
507	2006	HS	64	-1	-1	42314	66501	-1
508	1970	HS	65	-1	-1	43582	0	0
509	1974	HS	65	-1	-1	27676	0	0
510	1990	HS	65	-1	-1	38358	57331	0
511	2002	HS	65	-1	-1	32749	56598	0
512	2006	HS	65	-1	-1	41906	0	0
513	1970	HS	66	-1	-1	0	18738	0
514	1974	HS	66	-1	-1	36275	14060	0
515	1982	HS	66	-1	-1	41289	38741	1
516	1986	HS	66	-1	-1	44824	24358	1
517	2002	HS	66	-1	-1	25930	55205	0
518	1970	HS	67	-1	-1	39925	0	1
519	1974	HS	67	-1	-1	0	47053	-1
520	1990	HS	67	-1	-1	33821	68861	-1
521	2002	HS	67	-1	-1	31593	69420	-1
